iter	Passed	Remaining
0	172	172701
1	174	86901
2	175	58353
3	177	44080
4	178	35512
5	179	29759
6	180	25637
7	181	22546
8	182	20141
9	184	18224
10	185	16654
11	186	15361
12	187	14258
13	188	13303
14	190	12488
15	191	11765
16	192	11127
17	193	10559
18	194	10047
19	195	9586
20	196	9174
21	197	8797
22	199	8461
23	200	8146
24	201	7856
25	202	7588
26	203	7339
27	204	7108
28	205	6895
29	207	6695
30	208	6505
31	209	6329
32	210	6162
33	211	6006
34	212	5862
35	213	5722
36	222	5787
37	223	5664
38	224	5538
39	225	5419
40	226	5305
41	227	5200
42	229	5106
43	230	5009
44	231	4918
45	232	4830
46	233	4744
47	235	4663
48	236	4588
49	237	4513
50	238	4440
51	239	4369
52	240	4301
53	242	4240
54	243	4179
55	244	4122
56	245	4064
57	246	4007
58	247	3952
59	248	3899
60	250	3848
61	251	3802
62	252	3759
63	253	3712
64	254	3666
65	256	3623
66	257	3583
67	258	3542
68	260	3508
69	261	3474
70	262	3437
71	263	3399
72	264	3363
73	266	3330
74	267	3297
75	268	3264
76	269	3231
77	270	3199
78	271	3168
79	272	3137
80	273	3106
81	274	3077
82	275	3043
83	276	3015
84	277	2987
85	278	2960
86	279	2934
87	280	2911
88	282	2886
89	283	2861
90	284	2837
91	285	2813
92	286	2791
93	287	2768
94	288	2745
95	289	2727
96	290	2706
97	291	2685
98	292	2664
99	293	2644
100	294	2624
101	296	2606
102	297	2587
103	298	2569
104	299	2551
105	300	2534
106	301	2516
107	302	2498
108	303	2481
109	304	2464
110	305	2449
111	306	2433
112	307	2416
113	308	2401
114	310	2385
115	311	2371
116	312	2354
117	313	2340
118	314	2325
119	315	2311
120	316	2297
121	317	2281
122	318	2269
123	319	2257
124	320	2244
125	321	2231
126	322	2217
127	323	2204
128	324	2192
129	325	2180
130	326	2168
131	327	2156
132	329	2149
133	330	2138
134	331	2126
135	332	2115
136	333	2103
137	335	2093
138	336	2083
139	337	2075
140	339	2065
141	339	2053
142	341	2044
143	342	2036
144	343	2026
145	344	2016
146	345	2006
147	347	1997
148	348	1988
149	349	1979
150	350	1971
151	351	1963
152	353	1955
153	354	1946
154	355	1938
155	356	1929
156	357	1921
157	358	1912
158	360	1904
159	361	1895
160	361	1886
161	363	1879
162	364	1873
163	366	1866
164	367	1859
165	368	1852
166	369	1844
167	371	1841
168	373	1835
169	374	1829
170	375	1822
171	377	1816
172	379	1814
173	381	1810
174	383	1808
175	385	1804
176	386	1797
177	387	1790
178	388	1783
179	389	1776
180	391	1769
181	392	1763
182	394	1761
183	395	1754
184	396	1747
185	397	1740
186	399	1734
187	400	1728
188	401	1721
189	402	1715
190	403	1709
191	404	1702
192	405	1696
193	406	1690
194	407	1684
195	409	1679
196	410	1673
197	412	1668
198	413	1663
199	414	1658
200	415	1652
201	416	1646
202	417	1640
203	418	1634
204	419	1628
205	421	1622
206	422	1617
207	423	1612
208	424	1607
209	425	1601
210	427	1596
211	428	1591
212	429	1586
213	430	1581
214	431	1576
215	432	1571
216	433	1565
217	434	1559
218	435	1554
219	436	1548
220	438	1544
221	439	1540
222	456	1589
223	457	1585
224	458	1579
225	460	1575
226	461	1571
227	462	1565
228	463	1560
229	464	1555
230	465	1549
231	466	1544
232	467	1539
233	468	1535
234	470	1532
235	471	1527
236	473	1522
237	474	1518
238	475	1514
239	476	1509
240	477	1504
241	478	1500
242	480	1495
243	481	1491
244	482	1486
245	483	1483
246	485	1480
247	486	1476
248	487	1471
249	489	1467
250	490	1463
251	491	1459
252	492	1455
253	493	1450
254	494	1445
255	496	1441
256	497	1437
257	498	1433
258	499	1429
259	500	1425
260	501	1420
261	502	1416
262	503	1412
263	504	1407
264	506	1403
265	507	1399
266	508	1394
267	509	1390
268	510	1386
269	511	1382
270	512	1378
271	513	1375
272	515	1371
273	516	1367
274	517	1363
275	518	1359
276	519	1355
277	520	1351
278	521	1347
279	522	1343
280	523	1339
281	524	1334
282	525	1330
283	526	1326
284	527	1322
285	528	1319
286	529	1316
287	530	1312
288	531	1308
289	532	1304
290	533	1300
291	534	1296
292	535	1293
293	536	1289
294	537	1285
295	539	1282
296	542	1284
297	544	1281
298	545	1278
299	546	1274
300	547	1271
301	548	1267
302	549	1264
303	550	1260
304	551	1257
305	552	1253
306	554	1250
307	555	1247
308	556	1243
309	557	1240
310	558	1237
311	559	1233
312	560	1230
313	561	1226
314	562	1223
315	563	1219
316	564	1216
317	565	1212
318	566	1209
319	567	1206
320	568	1202
321	569	1199
322	570	1196
323	571	1192
324	572	1189
325	574	1186
326	575	1183
327	576	1180
328	577	1177
329	578	1173
330	579	1170
331	580	1167
332	581	1164
333	582	1161
334	583	1158
335	584	1154
336	585	1151
337	586	1148
338	587	1145
339	588	1143
340	589	1140
341	590	1136
342	591	1133
343	592	1130
344	593	1127
345	595	1124
346	596	1121
347	597	1118
348	598	1115
349	599	1112
350	600	1109
351	601	1106
352	602	1103
353	603	1100
354	604	1097
355	605	1095
356	606	1092
357	607	1089
358	608	1086
359	609	1083
360	610	1080
361	611	1078
362	612	1075
363	613	1072
364	614	1069
365	615	1066
366	616	1064
367	618	1061
368	619	1059
369	620	1056
370	621	1053
371	622	1050
372	623	1048
373	624	1045
374	625	1042
375	626	1040
376	627	1037
377	628	1034
378	629	1031
379	630	1028
380	631	1026
381	632	1023
382	633	1021
383	635	1018
384	636	1016
385	637	1013
386	638	1010
387	639	1008
388	640	1005
389	641	1003
390	642	1001
391	643	998
392	644	995
393	645	993
394	646	990
395	647	988
396	648	985
397	650	983
398	651	980
399	652	978
400	653	975
401	654	973
402	655	970
403	656	968
404	657	965
405	658	962
406	659	960
407	660	957
408	661	955
409	662	953
410	663	950
411	664	948
412	665	946
413	675	955
414	676	953
415	677	950
416	678	948
417	679	946
418	680	943
419	681	941
420	682	939
421	683	936
422	684	934
423	686	932
424	687	930
425	688	928
426	689	925
427	690	923
428	691	920
429	692	918
430	694	916
431	695	913
432	696	911
433	697	909
434	698	906
435	698	904
436	700	902
437	701	899
438	702	897
439	703	895
440	704	893
441	705	890
442	706	888
443	707	886
444	708	884
445	709	881
446	710	879
447	711	877
448	713	874
449	714	872
450	715	870
451	716	868
452	717	866
453	718	864
454	719	861
455	720	859
456	721	857
457	723	855
458	724	853
459	725	851
460	726	849
461	727	846
462	728	844
463	729	842
464	730	840
465	731	838
466	732	836
467	733	834
468	734	831
469	735	829
470	736	827
471	737	825
472	738	823
473	739	820
474	740	818
475	741	816
476	742	814
477	743	812
478	745	810
479	746	808
480	747	806
481	749	805
482	750	803
483	752	801
484	753	800
485	754	798
486	755	795
487	756	793
488	757	791
489	758	789
490	759	787
491	761	785
492	762	784
493	764	782
494	765	780
495	766	778
496	767	776
497	768	774
498	769	773
499	770	770
500	772	769
501	773	767
502	774	765
503	775	763
504	777	761
505	778	760
506	779	758
507	780	756
508	782	754
509	783	752
510	784	750
511	785	748
512	786	746
513	787	744
514	788	742
515	790	741
516	791	739
517	792	737
518	794	735
519	795	734
520	796	732
521	797	730
522	798	728
523	799	726
524	800	724
525	801	722
526	803	720
527	804	719
528	805	717
529	807	716
530	808	714
531	809	712
532	811	710
533	812	708
534	813	707
535	814	705
536	815	703
537	816	701
538	818	699
539	819	698
540	820	696
541	822	694
542	823	692
543	824	691
544	825	689
545	826	687
546	828	685
547	829	684
548	830	682
549	831	680
550	833	679
551	834	677
552	835	675
553	836	673
554	837	671
555	838	669
556	840	668
557	841	666
558	842	664
559	843	662
560	844	661
561	846	659
562	847	657
563	848	656
564	849	654
565	850	652
566	852	650
567	853	649
568	854	647
569	855	645
570	857	644
571	858	642
